,Case,No,Task,segment,year,miles,night,gender,age,educ,region,Urb,income,ppark,Choice,alt,CC,GN,NS,BU,FA,LD,BZ,FC,FP,RP,PP,KA,SC,TS,NV,MA,LB,AF,HU,Price,chid
4346.Ch4,363,6880,2,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4346
4347.Ch1,363,6881,3,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch4,1,3,0,5,6,1,3,2,0,0,0,3,2,0,0,0,0,0,0,2,6,4347
4347.Ch2,363,6881,3,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch4,2,3,0,3,5,2,3,3,0,0,0,2,1,0,0,0,0,0,0,2,10,4347
4347.Ch3,363,6881,3,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch4,3,2,0,3,6,2,3,1,0,0,0,2,1,0,0,0,0,0,0,2,12,4347
4347.Ch4,363,6881,3,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4347
4348.Ch1,363,6882,4,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch4,1,0,2,4,0,0,0,0,2,2,2,0,0,0,3,2,0,3,3,0,9,4348
4348.Ch2,363,6882,4,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch4,2,0,1,4,0,0,0,0,1,1,1,0,0,0,3,3,0,3,1,0,10,4348
4348.Ch3,363,6882,4,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch4,3,0,2,2,0,0,0,0,2,2,1,0,0,0,1,3,0,3,3,0,8,4348
4348.Ch4,363,6882,4,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4348
4349.Ch1,363,6883,5,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch4,1,0,0,4,5,0,3,3,0,0,2,0,0,2,2,0,1,0,1,0,11,4349
4349.Ch2,363,6883,5,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch4,2,0,0,5,2,0,1,1,0,0,2,0,0,4,2,0,2,0,2,0,8,4349
4349.Ch3,363,6883,5,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch4,3,0,0,4,4,0,2,1,0,0,2,0,0,3,1,0,4,0,3,0,12,4349
4349.Ch4,363,6883,5,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4349
4350.Ch1,363,6884,6,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch4,1,1,2,0,0,1,0,0,1,0,0,3,1,4,0,2,0,1,0,0,3,4350
4350.Ch2,363,6884,6,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch4,2,1,2,0,0,1,0,0,2,0,0,3,1,3,0,3,0,4,0,0,2,4350
4350.Ch3,363,6884,6,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch4,3,3,2,0,0,1,0,0,1,0,0,3,1,1,0,2,0,2,0,0,4,4350
4350.Ch4,363,6884,6,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4350
4351.Ch1,363,6885,7,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch4,1,0,2,0,6,0,0,2,0,3,0,0,1,0,2,0,1,2,0,1,1,4351
4351.Ch2,363,6885,7,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch4,2,0,1,0,1,0,0,2,0,4,0,0,1,0,1,0,3,2,0,1,3,4351
4351.Ch3,363,6885,7,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch4,3,0,1,0,5,0,0,2,0,2,0,0,1,0,2,0,3,1,0,2,10,4351
4351.Ch4,363,6885,7,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4351
4352.Ch1,363,6886,8,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch1,1,0,0,2,0,0,2,0,2,1,1,3,0,0,0,3,4,0,0,2,11,4352
4352.Ch2,363,6886,8,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch1,2,0,0,4,0,0,1,0,2,1,1,1,0,0,0,1,3,0,0,2,3,4352
4352.Ch3,363,6886,8,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch1,3,0,0,5,0,0,2,0,1,1,2,3,0,0,0,2,4,0,0,1,1,4352
4352.Ch4,363,6886,8,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4352
4353.Ch1,363,6887,9,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch2,1,2,0,0,0,1,0,3,2,0,2,0,0,1,1,0,0,0,3,1,10,4353
4353.Ch2,363,6887,9,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch2,2,2,0,0,0,2,0,1,1,0,2,0,0,3,3,0,0,0,1,2,2,4353
4353.Ch3,363,6887,9,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch2,3,2,0,0,0,1,0,1,1,0,2,0,0,4,3,0,0,0,2,1,8,4353
4353.Ch4,363,6887,9,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4353
4354.Ch1,363,6888,10,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch4,1,2,1,0,0,0,2,0,0,3,0,0,1,3,0,2,1,0,3,0,8,4354
4354.Ch2,363,6888,10,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch4,2,1,1,0,0,0,1,0,0,1,0,0,1,1,0,3,2,0,1,0,10,4354
4354.Ch3,363,6888,10,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch4,3,1,1,0,0,0,1,0,0,1,0,0,1,1,0,2,4,0,1,0,9,4354
4354.Ch4,363,6888,10,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4354
4355.Ch1,363,6889,11,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch4,1,0,0,3,1,2,0,0,0,0,1,2,2,4,0,0,2,3,0,0,9,4355
4355.Ch2,363,6889,11,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch4,2,0,0,1,3,1,0,0,0,0,2,2,1,1,0,0,4,3,0,0,2,4355
4355.Ch3,363,6889,11,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch4,3,0,0,2,6,2,0,0,0,0,2,2,2,1,0,0,3,1,0,0,6,4355
4355.Ch4,363,6889,11,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4355
4356.Ch1,363,6890,12,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch4,1,0,0,5,0,1,1,2,2,2,0,1,0,0,0,0,0,4,3,0,6,4356
4356.Ch2,363,6890,12,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch4,2,0,0,2,0,2,3,2,1,4,0,3,0,0,0,0,0,3,2,0,1,4356
4356.Ch3,363,6890,12,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch4,3,0,0,2,0,2,1,3,1,3,0,2,0,0,0,0,0,4,1,0,6,4356
4356.Ch4,363,6890,12,Midsize Utility,2002,25,25,0,25,2,SE,0,165000,1,Ch4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4356
4357.Ch1,364,6898,1,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch2,1,2,0,0,0,1,0,3,0,1,2,1,1,0,2,1,0,0,0,0,1,4357
4357.Ch2,364,6898,1,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch2,2,1,0,0,0,2,0,2,0,3,2,1,1,0,3,1,0,0,0,0,1,4357
4357.Ch3,364,6898,1,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch2,3,1,0,0,0,2,0,2,0,4,2,3,2,0,3,1,0,0,0,0,12,4357
4357.Ch4,364,6898,1,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4357
4358.Ch1,364,6899,2,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch3,1,0,1,3,0,0,3,0,2,0,0,0,0,1,0,0,2,1,1,2,6,4358
4358.Ch2,364,6899,2,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch3,2,0,1,1,0,0,1,0,2,0,0,0,0,2,0,0,1,2,1,1,5,4358
4358.Ch3,364,6899,2,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch3,3,0,1,3,0,0,2,0,1,0,0,0,0,3,0,0,3,3,1,1,3,4358
4358.Ch4,364,6899,2,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4358
4359.Ch1,364,6900,3,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch1,1,1,0,0,1,0,1,0,1,2,2,0,0,0,0,2,0,0,1,2,12,4359
4359.Ch2,364,6900,3,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch1,2,1,0,0,1,0,3,0,1,2,2,0,0,0,0,2,0,0,3,2,8,4359
4359.Ch3,364,6900,3,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch1,3,1,0,0,5,0,3,0,2,2,2,0,0,0,0,2,0,0,1,2,3,4359
4359.Ch4,364,6900,3,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4359
4360.Ch1,364,6901,4,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch1,1,0,2,1,0,0,0,3,0,0,0,1,1,1,2,0,2,3,0,0,2,4360
4360.Ch2,364,6901,4,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch1,2,0,1,4,0,0,0,3,0,0,0,2,2,2,3,0,2,2,0,0,7,4360
4360.Ch3,364,6901,4,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch1,3,0,1,1,0,0,0,1,0,0,0,3,1,2,2,0,4,4,0,0,9,4360
4360.Ch4,364,6901,4,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4360
4361.Ch1,364,6902,5,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch2,1,0,0,0,1,2,0,0,2,1,0,2,2,2,0,2,0,0,1,0,6,4361
4361.Ch2,364,6902,5,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch2,2,0,0,0,1,1,0,0,1,2,0,2,1,2,0,2,0,0,3,0,12,4361
4361.Ch3,364,6902,5,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch2,3,0,0,0,1,1,0,0,1,2,0,2,1,2,0,1,0,0,3,0,12,4361
4361.Ch4,364,6902,5,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4361
4362.Ch1,364,6903,6,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch2,1,3,2,5,1,1,3,3,0,0,0,0,0,0,1,0,0,0,0,1,4,4362
4362.Ch2,364,6903,6,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch2,2,2,1,3,4,2,2,2,0,0,0,0,0,0,2,0,0,0,0,2,6,4362
4362.Ch3,364,6903,6,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch2,3,2,2,5,1,1,2,2,0,0,0,0,0,0,3,0,0,0,0,2,5,4362
4362.Ch4,364,6903,6,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4362
4363.Ch1,364,6904,7,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch2,1,0,0,0,0,1,0,0,0,3,1,2,0,0,2,0,2,4,1,1,8,4363
4363.Ch2,364,6904,7,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch2,2,0,0,0,0,2,0,0,0,1,1,1,0,0,3,0,1,3,1,2,4,4363
4363.Ch3,364,6904,7,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch2,3,0,0,0,0,2,0,0,0,1,1,2,0,0,1,0,3,4,2,1,8,4363
4363.Ch4,364,6904,7,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4363
4364.Ch1,364,6905,8,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch3,1,2,0,2,2,0,0,2,2,0,1,0,0,1,0,3,0,4,0,0,2,4364
4364.Ch2,364,6905,8,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch3,2,1,0,3,5,0,0,2,2,0,2,0,0,4,0,2,0,3,0,0,4,4364
4364.Ch3,364,6905,8,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch3,3,2,0,1,5,0,0,2,2,0,1,0,0,4,0,2,0,4,0,0,2,4364
4364.Ch4,364,6905,8,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4364
4365.Ch1,364,6906,9,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch1,1,0,1,0,2,0,1,0,1,2,2,0,2,0,2,0,1,0,0,0,1,4365
4365.Ch2,364,6906,9,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch1,2,0,2,0,5,0,1,0,2,4,2,0,2,0,3,0,1,0,0,0,5,4365
4365.Ch3,364,6906,9,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch1,3,0,2,0,1,0,1,0,1,4,2,0,1,0,2,0,3,0,0,0,6,4365
4365.Ch4,364,6906,9,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4365
4366.Ch1,364,6907,10,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch1,1,3,1,1,0,0,2,0,0,0,0,2,1,0,0,2,0,4,3,0,4,4366
4366.Ch2,364,6907,10,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch1,2,3,1,2,0,0,1,0,0,0,0,2,2,0,0,3,0,4,3,0,2,4366
4366.Ch3,364,6907,10,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch1,3,3,2,5,0,0,2,0,0,0,0,2,2,0,0,3,0,2,1,0,9,4366
4366.Ch4,364,6907,10,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4366
4367.Ch1,364,6908,11,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch1,1,0,0,0,0,1,0,2,0,4,0,0,0,3,1,1,4,1,0,1,1,4367
4367.Ch2,364,6908,11,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch1,2,0,0,0,0,2,0,3,0,3,0,0,0,1,2,1,4,4,0,2,3,4367
4367.Ch3,364,6908,11,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch1,3,0,0,0,0,2,0,1,0,3,0,0,0,4,2,3,1,2,0,1,12,4367
4367.Ch4,364,6908,11,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4367
4368.Ch1,364,6909,12,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch3,1,1,2,0,0,1,0,0,1,0,1,3,2,0,0,0,3,0,0,2,4,4368
4368.Ch2,364,6909,12,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch3,2,3,1,0,0,2,0,0,2,0,2,1,1,0,0,0,2,0,0,2,4,4368
4368.Ch3,364,6909,12,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch3,3,2,2,0,0,1,0,0,1,0,1,1,2,0,0,0,4,0,0,1,2,4368
4368.Ch4,364,6909,12,Small Car,2001,75,45,1,35,4,W,1,205000,0,Ch3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4368
4369.Ch1,365,6917,1,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch3,1,3,1,2,0,0,3,0,0,0,2,2,0,2,0,0,0,1,2,0,5,4369
4369.Ch2,365,6917,1,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch3,2,1,2,2,0,0,2,0,0,0,1,3,0,4,0,0,0,4,1,0,2,4369
4369.Ch3,365,6917,1,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch3,3,1,2,1,0,0,1,0,0,0,1,1,0,1,0,0,0,2,3,0,2,4369
4369.Ch4,365,6917,1,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4369
4370.Ch1,365,6918,2,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch1,1,0,0,0,3,2,0,1,2,1,0,0,1,0,3,3,3,0,0,0,7,4370
4370.Ch2,365,6918,2,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch1,2,0,0,0,3,1,0,3,1,4,0,0,2,0,3,2,4,0,0,0,7,4370
4370.Ch3,365,6918,2,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch1,3,0,0,0,6,1,0,3,1,2,0,0,2,0,2,3,4,0,0,0,5,4370
4370.Ch4,365,6918,2,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4370
4371.Ch1,365,6919,3,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch1,1,0,0,5,1,0,0,0,2,0,1,0,1,1,1,0,0,0,2,1,3,4371
4371.Ch2,365,6919,3,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch1,2,0,0,5,6,0,0,0,1,0,2,0,2,1,2,0,0,0,2,1,9,4371
4371.Ch3,365,6919,3,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch1,3,0,0,5,1,0,0,0,2,0,1,0,2,1,2,0,0,0,1,2,5,4371
4371.Ch4,365,6919,3,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4371
4372.Ch1,365,6920,4,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch3,1,0,1,0,0,1,1,3,0,4,0,2,0,0,0,1,2,0,0,1,12,4372
4372.Ch2,365,6920,4,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch3,2,0,1,0,0,1,1,2,0,4,0,1,0,0,0,2,3,0,0,2,3,4372
4372.Ch3,365,6920,4,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch3,3,0,1,0,0,1,1,1,0,2,0,2,0,0,0,2,2,0,0,1,3,4372
4372.Ch4,365,6920,4,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4372
4373.Ch1,365,6921,5,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch2,1,1,1,0,3,0,0,3,1,0,1,0,1,0,0,0,0,4,0,1,6,4373
4373.Ch2,365,6921,5,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch2,2,3,2,0,1,0,0,3,2,0,2,0,2,0,0,0,0,3,0,1,2,4373
4373.Ch3,365,6921,5,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch2,3,1,1,0,1,0,0,1,2,0,2,0,2,0,0,0,0,2,0,2,7,4373
4373.Ch4,365,6921,5,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4373
4374.Ch1,365,6922,6,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch1,1,1,0,4,0,2,0,0,0,2,0,2,0,3,3,0,2,3,0,0,9,4374
4374.Ch2,365,6922,6,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch1,2,3,0,4,0,1,0,0,0,3,0,3,0,2,1,0,3,3,0,0,12,4374
4374.Ch3,365,6922,6,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch1,3,3,0,1,0,1,0,0,0,2,0,1,0,3,3,0,1,1,0,0,10,4374
4374.Ch4,365,6922,6,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4374
4375.Ch1,365,6923,7,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch2,1,3,0,0,3,1,2,0,0,0,0,0,2,0,0,1,3,4,2,0,4,4375
4375.Ch2,365,6923,7,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch2,2,1,0,0,6,2,1,0,0,0,0,0,1,0,0,2,1,3,2,0,2,4375
4375.Ch3,365,6923,7,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch2,3,2,0,0,6,2,3,0,0,0,0,0,1,0,0,3,1,3,1,0,7,4375
4375.Ch4,365,6923,7,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4375
4376.Ch1,365,6924,8,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch2,1,0,2,5,0,0,0,0,1,3,0,1,0,1,0,3,0,0,2,1,7,4376
4376.Ch2,365,6924,8,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch2,2,0,2,1,0,0,0,0,1,1,0,1,0,1,0,3,0,0,3,1,4,4376
4376.Ch3,365,6924,8,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch2,3,0,2,1,0,0,0,0,2,4,0,2,0,4,0,3,0,0,3,2,7,4376
4376.Ch4,365,6924,8,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4376
4377.Ch1,365,6925,9,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch3,1,2,0,0,0,0,2,2,0,4,1,0,1,1,3,3,0,0,0,0,5,4377
4377.Ch2,365,6925,9,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch3,2,1,0,0,0,0,2,2,0,3,2,0,1,3,3,2,0,0,0,0,5,4377
4377.Ch3,365,6925,9,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch3,3,2,0,0,0,0,3,2,0,2,2,0,2,1,1,3,0,0,0,0,1,4377
4377.Ch4,365,6925,9,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4377
4378.Ch1,365,6926,10,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch3,1,0,1,5,0,2,2,2,2,0,0,0,0,0,1,0,2,3,0,0,8,4378
4378.Ch2,365,6926,10,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch3,2,0,1,5,0,1,3,1,1,0,0,0,0,0,1,0,2,1,0,0,10,4378
4378.Ch3,365,6926,10,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch3,3,0,2,4,0,1,3,1,2,0,0,0,0,0,1,0,3,3,0,0,10,4378
4378.Ch4,365,6926,10,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4378
4379.Ch1,365,6927,11,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch2,1,0,0,5,1,0,3,1,0,0,2,3,0,0,0,0,4,0,1,2,12,4379
4379.Ch2,365,6927,11,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch2,2,0,0,5,3,0,1,3,0,0,1,3,0,0,0,0,4,0,3,2,2,4379
4379.Ch3,365,6927,11,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch2,3,0,0,3,5,0,2,3,0,0,1,2,0,0,0,0,1,0,2,2,8,4379
4379.Ch4,365,6927,11,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4379
4380.Ch1,365,6928,12,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch2,1,1,0,0,0,1,0,0,1,1,2,2,0,0,0,3,0,4,2,0,6,4380
4380.Ch2,365,6928,12,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch2,2,2,0,0,0,2,0,0,2,3,2,3,0,0,0,1,0,2,3,0,1,4380
4380.Ch3,365,6928,12,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch2,3,3,0,0,0,1,0,0,1,3,2,2,0,0,0,2,0,4,3,0,2,4380
4380.Ch4,365,6928,12,Midsize Utility,2000,25,5,0,35,4,SE,2,235000,1,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4380
4381.Ch1,366,6936,1,Midsize Car,2005,125,15,1,70,4,NE,1,165000,1,Ch4,1,0,1,0,0,0,0,0,1,4,1,0,1,1,3,0,4,2,0,0,7,4381
4381.Ch2,366,6936,1,Midsize Car,2005,125,15,1,70,4,NE,1,165000,1,Ch4,2,0,2,0,0,0,0,0,2,1,1,0,2,3,3,0,2,2,0,0,9,4381
4381.Ch3,366,6936,1,Midsize Car,2005,125,15,1,70,4,NE,1,165000,1,Ch4,3,0,1,0,0,0,0,0,1,3,1,0,2,2,3,0,1,4,0,0,4,4381
4381.Ch4,366,6936,1,Midsize Car,2005,125,15,1,70,4,NE,1,165000,1,Ch4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4381
4382.Ch1,366,6937,2,Midsize Car,2005,125,15,1,70,4,NE,1,165000,1,Ch3,1,2,0,5,2,2,1,3,0,0,0,2,0,0,0,0,0,0,1,1,10,4382
4382.Ch2,366,6937,2,Midsize Car,2005,125,15,1,70,4,NE,1,165000,1,Ch3,2,3,0,3,1,1,2,3,0,0,0,3,0,0,0,0,0,0,2,2,8,4382
4382.Ch3,366,6937,2,Midsize Car,2005,125,15,1,70,4,NE,1,165000,1,Ch3,3,2,0,2,5,1,3,3,0,0,0,3,0,0,0,0,0,0,2,1,3,4382
4382.Ch4,366,6937,2,Midsize Car,2005,125,15,1,70,4,NE,1,165000,1,Ch3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4382
4383.Ch1,366,6938,3,Midsize Car,2005,125,15,1,70,4,NE,1,165000,1,Ch1,1,1,1,0,3,1,0,0,0,1,2,3,0,0,0,3,0,0,0,2,1,4383
